Score,Name,Title,Firm,Category,Location,LinkedIn,Why relevant,Stage fit / flags
10,David Ulevitch,General Partner,a16z American Dynamism,Public safety VC,San Francisco US,linkedin.com/in/davidu,Led Prepared Series A+B (exited to Axon); backed Flock Safety; wrote 'We Can (and Do) Solve Crime',Seed-capable; thesis-perfect
9,Hans Robertson,Co-founder & Exec Chairman Verkada; angel,Verkada / angel,Operator angel,SF Bay Area US,linkedin.com/in/hansrobertson,Meraki co-founder; built cameras-for-schools category; 5 angel deals; was Verkada seed angel,Angel checks; top operator target
9,Jim Vesterman,ex-CEO Raptor Technologies; investor,Independent / search-fund investor,Operator angel,Philadelphia US,linkedin.com/in/jim-vesterman-42a40311,Ran K-12 school-safety company (40k schools; 13.5x exit); ex-Marine special forces; active investor,Angel/search checks; exact domain
9,Jaime Ellertson,Chairman & Managing Partner,Akmazo Capital (ex-Everbridge CEO),Emergency-response operator,Boston US,linkedin.com/in/jaime-ellertson-4598723,Built Everbridge (mass notification); now runs early-stage B2B SaaS fund; takes pitches,Early-stage fund; category creator
9,Steve Kupfer,Partner,Reach Capital,K-12 edtech VC,Brooklyn US,linkedin.com/in/kupfer,Led CurvePoint school threat-detection pre-seed AND seed (2025) — actively writing checks in category,Pre-seed/seed; CurvePoint conflict — pitch as response layer
9,Renny McPherson,Co-founder & Managing Partner,First In,Security seed fund,Washington DC US,linkedin.com/in/renny-mcpherson-1ba5b54,Seed-only security-tech fund (Anduril; Shift5); ex-USMC intel; RedOwl founder,Seed lead; exact stage+thesis
9,Josh Cohen,Founder & Managing Partner,City Light Capital,Impact (safety+education),New York US,linkedin.com/in/joshecohen,Firm founded post-9/11 for safety investing; co-led ShotSpotter Series B; thesis = education AND safety & care,Seed checks $50K-3M
9,Micah Rosenbloom,Managing Partner,Founder Collective,Seed VC,New York US,linkedin.com/in/micah-rosenbloom-a0350,Personally led Verkada's seed (2017),Seed-only fund
9,Stephanie Usry Bellistri,Partner & Co-Founder,New North Ventures,NatSec seed fund,Washington DC US,linkedin.com/in/stephanie-usry-bellistri-04615551,22-yr CIA veteran; advised Evolv (AI weapons screening in schools); led pre-seed deals,Pre-seed/seed/A
8,Ben Ling,Founder & GP,Bling Capital,Seed VC,Miami Beach US,linkedin.com/in/benjaminling,Led Aegis AI (gun detection on CCTV) seed 2019; $270M Fund IV closed Nov 2024,Seed core
8,Ross Fubini,Founder & Managing Partner,XYZ Venture Capital,Regulated-market seed VC,San Francisco US,linkedin.com/in/fubini,Early Verkada + Anduril; Palantir alumni network; Midas List 2026,Leads seeds $500K-4M
8,Raj Shah,Co-founder & Managing Partner,Shield Capital,NatSec VC,San Francisco US,linkedin.com/in/rajshah3,Ex-Pentagon DIU director; natsec AI thesis; co-author 'Unit X'; NIF board,Pre-seed to A ($1-15M)
8,Ilya Sukhar,General Partner,Matrix,Seed/A VC,San Francisco US,linkedin.com/in/ilyasukhar,Led Flock Safety Series A; Flock board member; still posts Flock updates,Pre-seed to A
8,Jeff Eggers,Managing Director,Risk & Return,Public-safety seed fund,McLean VA US,linkedin.com/in/jeffeggers,Fund for 'high-risk frontline public servants'; backed Prepared seed; ex-Navy SEAL/NSC,Seed; verify current role (Rsquared headline)
8,Ron Bouganim,Founder & Managing Partner,Govtech Fund,Govtech seed fund,San Francisco US,linkedin.com/in/ronbouganim,First govtech VC; seeded Mark43; ~$500K checks + AngelList syndicate,Seed; district GTM expertise
8,Kevin Hartz,Co-founder & GP,A* Capital,Fund+angel,San Francisco US,linkedin.com/in/hartz,Flock Safety angel; co-founded Sauron (AI sensor home security); X @kevinhartz,Early checks; CV-security conviction
8,Bill Trenchard,Partner,First Round Capital,Seed VC,San Francisco US,firstround.com/team (LI via site),Did Verkada's $3.9M seed (quoted in announcement),Seed-only firm
8,Abe Murray,GP Deep Tech & Robotics,AlleyCorp,Deep-tech incubator/VC,New York US,linkedin.com/in/abe-murray,Ex-Google CV/ML product lead; $250K-1M first checks; runs defense accelerator,Pre-seed/incubation; domain match
8,Mat Vogels,Partner; runs Black Flag,Harpoon Ventures / Black Flag,NatSec pre-seed,Denver US,linkedin.com/in/matvogels,Black Flag writes literal first checks $250K-1M (pre-incorporation) in dual-use,Pre-seed core; Harpoon $155M Fund IV behind it
8,Sherman Williams II,Co-founder & Managing Partner,AIN Ventures,Dual-use seed fund,New York US,linkedin.com/in/sherman-williams,Seed-stage dual-use + veteran-led fund (USAA-anchored); ex-Naval Intelligence,Seed is stated stage
8,Brian Dixon,Managing Partner,Kapor Capital,Impact seed VC,Oakland US,linkedin.com/in/dixonb,20-25 seed deals/yr $100-250K; gap-closing thesis fits underserved districts,Pre-seed/seed core
8,Kesha Cash,Founder & GP,Impact America Fund,Impact seed VC,Oakland US,linkedin.com/in/keshacash,$112M Fund III (2025); leads seed-A in tech for marginalized US communities; K-12 history (Schoolzilla),Leads seed
8,Dror Berman,Founding Partner,Innovation Endeavors,Deep-tech VC,Palo Alto US,linkedin.com/in/drorberman,$630M fund; thesis 'sensors + ML applied to physical world' = SafeRoute's stack,Seed/A $1-15M
8,Topher Conway,Co-Managing Partner,SV Angel,Seed VC,San Francisco US,linkedin.com/in/topherc,SV Angel seeded Ambient.ai (AI on CCTV); 100+ AI seed rounds/yr,Pre-seed/seed
8,Chris Howard,Founder & Managing Director,Ritual Capital (ex-Fuel),Pre-seed fund,Burlingame US,linkedin.com/in/chrisfhoward,Bark early investor at Fuel; Ritual writes ~$300K collaborative pre-seed/seed checks,Pre-seed/seed
8,Jamie Siminoff,VP Home Security Products,Amazon (Ring founder); angel,Operator angel,Los Angeles US,linkedin.com/in/jamie-siminoff-aaa44238a,Ring founder; angel in Aerodome (public-safety drones); AI-on-cameras thesis,Angel
8,Frederic Kerrest,Okta co-founder; MP 515 Ventures,515 Ventures,Operator angel,San Francisco US,linkedin.com/in/fkerrest,53 angel deals ($5-50K); Ambient.ai angel; The Operator Network co-founder,Most accessible angel on list
8,Joe Payne,ex-CEO Code42/Eloqua; angel,Independent,Operator angel,Washington DC US,linkedin.com/in/paynejoe,Named pre-seed angel in Prepared (911 tech),Angel; proven pre-seed in category
8,Adrian Fenty,Founding Managing Partner,MaC Venture Capital,Seed VC + angel,Palo Alto US,linkedin.com/in/adrian-fenty-799a7655,Prepared angel; ex-DC mayor (public-sector empathy); MaC does seed,Seed + angel
8,Dustin Dolginow,General Partner,Maiden Lane,Pre-seed VC,Boston US,angel.co/p/dd (LI not found),Co-led Perimeter (evacuation-mapping) $1M pre-seed — direct precedent,Pre-seed
8,Shawn Merani,Founder & Managing Partner,Parade Ventures,Pre-seed VC,San Francisco US,LI unverified (/in/shawnmerani),Led Perimeter evacuation-mapping pre-seed,Pre-seed core
8,Eric Slesinger,General Partner,201 Ventures,EU dual-use seed,Madrid ES,linkedin.com/in/ericslesinger,Ex-CIA; pre-seed/seed security fund (NIF-backed); runs European Defense Investor Network,Pre-seed/seed lead; EU anchor
8,Archie Muirhead,Partner,IQ Capital,EU deeptech seed,Cambridge UK,uk.linkedin.com/in/archie-muirhead,Quoted partner on Alpine Eagle CV threat-detection seed (€10.25M),Seed lead
8,Jack Wang,Partner & MD UK,Project A,EU deeptech VC,London UK,uk.linkedin.com/in/jackwanguk,Leads Project A defense/deeptech (Labrys seed; ARX),Pre-seed to A
8,Romy Schnelle,MD Industrial Tech,HTGF,DE pre-seed fund,Bonn DE,htgf.de team page,HTGF co-invested Alpine Eagle seed; archetypal German pre-seed first check,Pre-seed core; deal-lead unnamed
8,Alexis Houssou,Founder & Managing Partner,HCVC,EU hardtech pre-seed,Paris FR,linkedin.com/in/alexis-houssou-4b157a38,HCVC led Alpine Eagle PRE-SEED; hardtech-first,Pre-seed/seed
8,Taavi Veskimägi,Founder/Managing Partner,Sentris Capital,EU resilience seed,Tallinn EE,linkedin.com/in/taavi-veskimägi-67334a9,20+ seed investments in resilience/dual-use incl. Alpine Eagle; ex-Elering CEO,Seed; resilience thesis
8,Will Wells,Partner Head of Deep Tech,Speedinvest,EU pre-seed/seed,London UK,LI via posts (/in/willwellshummingbird),Leads deeptech incl. defense/robotics; Speedinvest led ARX extension,Pre-seed/seed
8,Sandra Golbreich,General Partner,BSV Ventures,Baltic dual-use pre-seed,Vilnius LT,LI slug not captured,€15M NIF-backed pre-seed dual-use fund; €100K-1.5M tickets,Exact stage + thesis
8,Willi Mannheims,Managing Partner,eCAPITAL,DE security VC,Münster DE,ecapital.vc team page,Personally backed brighter AI (GDPR video anonymization) — GDPR-CCTV precedent,Early-stage security/privacy
8,Chris Smith,Managing Partner,Playfair Capital,UK pre-seed VC,London UK,linkedin.com/in/cdgsmith,Wrote Orca AI investment memo (CV collision-avoidance safety); explicit CV interest,Pre-seed generalist w/ CV-safety record
8,Nathan Benaich,Founder & GP,Air Street Capital,AI-first seed VC,London UK,uk.linkedin.com/in/nathanbenaich,AI-first fund; publishes on defense AI & European capability,Seed
8,Petteri Koponen,Founding Partner,Lifeline Ventures,FI pre-seed VC,Helsinki FI,fi.linkedin.com/in/petterikoponen,Pre-seed investor in ICEYE (sensing unicorn); day-zero deeptech comfort,Pre-seed/seed
8,Jan Lynn-Matern,Founder & Partner,Emerge Education,EU edtech pre-seed,London UK,linkedin.com/in/janlynnmatern,$56M AI-heavy pre-seed edtech fund; deep school networks; $500K-2.5M,Pre-seed core
8,Mikolaj Firlej,Co-founder & GP,Expeditions Fund,EU security seed,Warsaw/London PL/UK,linkedin.com/in/mikolaj-firlej-508b6a65,€197M Fund II (NIF+BAE); backed Labrys (crisis C2 analog); Oxford DPhil autonomous weapons,Seed lead
8,Tommy Hendrix,Co-founder & Managing Partner,Decisive Point,NatSec seed,New York US,LI not found (X @thomasehendrix),Ex-Green Beret; seed/A $500K-1M with federal procurement playbook,Seed lead
8,Philip O'Connor,Co-founder & Managing Partner,Blackhorn Ventures,Industrial-impact VC,Denver US,linkedin.com/in/philip-o-connor-a0a48635,Seeded Buzz Solutions — AI on fixed cameras w/ real-time fire/safety alerts,Seed/A; closest proptech evidence
